track_name,track_artist,track_album_id,track_album_release_date,track_id,track_album_id,playlist_name,playlist_genre,playlist_subgenre,playlist_id,track_popularity,energy,tempo,danceability,loudness,liveness,valence,speechiness,instrumentalness,mode,key,duration_ms,acousticness,time_signature,track_href,uri,analysis_url,id
Please Please Please,Sabrina Carpenter,5bBaoign62r1i7OV8w7mi9,06/06/2024,5N3hjp1WNayUPZrA8kJmJP,5bBaoign62r1i7OV8w7mi9,Today's Top Hits,pop,mainstream,37i9dQZF1DXcBWIGoYBM5M,88,0.586,107.071,0.669,-6.073,0.104,0.579,0.054,0,1,9,186365,0.274,4,https://api.spotify.com/v1/tracks/5N3hjp1WNayUPZrA8kJmJP,spotify:track:5N3hjp1WNayUPZrA8kJmJP,https://api.spotify.com/v1/audio-analysis/5N3hjp1WNayUPZrA8kJmJP,5N3hjp1WNayUPZrA8kJmJP
2 hands,Tate McRae,2BdJwrx2wMJi7x06wWkUFg,14/11/2024,1f18HzFpegqvH4ibGJyeMJ,2BdJwrx2wMJi7x06wWkUFg,Today's Top Hits,pop,mainstream,37i9dQZF1DXcBWIGoYBM5M,79,0.806,104.032,0.608,-3.443,0.191,0.587,0.0486,0,1,1,181821,0.121,4,https://api.spotify.com/v1/tracks/1f18HzFpegqvH4ibGJyeMJ,spotify:track:1f18HzFpegqvH4ibGJyeMJ,https://api.spotify.com/v1/audio-analysis/1f18HzFpegqvH4ibGJyeMJ,1f18HzFpegqvH4ibGJyeMJ
A Bar Song (Tipsy),Shaboozey,6egBeCLeGITzGSo5VyRjwZ,12/04/2024,2FQrifJ1N335Ljm3TjTVVf,6egBeCLeGITzGSo5VyRjwZ,Today's Top Hits,pop,mainstream,37i9dQZF1DXcBWIGoYBM5M,86,0.709,81.012,0.722,-4.95,0.0804,0.604,0.0273,0,1,9,171292,0.0633,4,https://api.spotify.com/v1/tracks/2FQrifJ1N335Ljm3TjTVVf,spotify:track:2FQrifJ1N335Ljm3TjTVVf,https://api.spotify.com/v1/audio-analysis/2FQrifJ1N335Ljm3TjTVVf,2FQrifJ1N335Ljm3TjTVVf
HOT TO GO!,Chappell Roan,0EiI8ylL0FmWWpgHVTsZjZ,22/09/2023,4xdBrk0nFZaP54vvZj0yx7,0EiI8ylL0FmWWpgHVTsZjZ,Today's Top Hits,pop,mainstream,37i9dQZF1DXcBWIGoYBM5M,88,0.757,139.982,0.742,-4.981,0.305,0.957,0.0421,0,1,6,184841,0.0187,4,https://api.spotify.com/v1/tracks/4xdBrk0nFZaP54vvZj0yx7,spotify:track:4xdBrk0nFZaP54vvZj0yx7,https://api.spotify.com/v1/audio-analysis/4xdBrk0nFZaP54vvZj0yx7,4xdBrk0nFZaP54vvZj0yx7
Disease,Lady Gaga,52BWvTRMsPqjHzrbQomgwP,25/10/2024,19KlZwqlT3fguP2BeHF1Q1,52BWvTRMsPqjHzrbQomgwP,Today's Top Hits,pop,mainstream,37i9dQZF1DXcBWIGoYBM5M,86,0.917,100.987,0.562,-2.768,0.488,0.501,0.117,0,0,11,229997,0.0513,4,https://api.spotify.com/v1/tracks/19KlZwqlT3fguP2BeHF1Q1,spotify:track:19KlZwqlT3fguP2BeHF1Q1,https://api.spotify.com/v1/audio-analysis/19KlZwqlT3fguP2BeHF1Q1,19KlZwqlT3fguP2BeHF1Q1
Moonlit Floor (Kiss Me),LISA,1OGxb1Z5KDBVOwDtyKu8wz,08/10/2024,5G345YEhvleYxQLfYUlEFv,1OGxb1Z5KDBVOwDtyKu8wz,Today's Top Hits,pop,mainstream,37i9dQZF1DXcBWIGoYBM5M,82,0.787,109.939,0.734,-3.951,0.312,0.672,0.116,0,0,5,155757,0.126,4,https://api.spotify.com/v1/tracks/5G345YEhvleYxQLfYUlEFv,spotify:track:5G345YEhvleYxQLfYUlEFv,https://api.spotify.com/v1/audio-analysis/5G345YEhvleYxQLfYUlEFv,5G345YEhvleYxQLfYUlEFv
Love Somebody,Morgan Wallen,0TxewlKVKdpP18dGg279ep,18/10/2024,7hR22TOX3RorxJPcsz5Wbo,0TxewlKVKdpP18dGg279ep,Today's Top Hits,pop,mainstream,37i9dQZF1DXcBWIGoYBM5M,86,0.843,122.064,0.619,-5.348,0.164,0.746,0.0284,0.000118,0,5,204829,0.00948,4,https://api.spotify.com/v1/tracks/7hR22TOX3RorxJPcsz5Wbo,spotify:track:7hR22TOX3RorxJPcsz5Wbo,https://api.spotify.com/v1/audio-analysis/7hR22TOX3RorxJPcsz5Wbo,7hR22TOX3RorxJPcsz5Wbo
"I Love You, I'm Sorry",Gracie Abrams,56bdWeO40o3WfAD2Lja4dl,21/06/2024,51rfRCiUSvxXlCSCfIztBy,56bdWeO40o3WfAD2Lja4dl,Today's Top Hits,pop,mainstream,37i9dQZF1DXcBWIGoYBM5M,90,0.406,115.94,0.53,-7.507,0.133,0.338,0.033,0,1,10,157147,0.656,3,https://api.spotify.com/v1/tracks/51rfRCiUSvxXlCSCfIztBy,spotify:track:51rfRCiUSvxXlCSCfIztBy,https://api.spotify.com/v1/audio-analysis/51rfRCiUSvxXlCSCfIztBy,51rfRCiUSvxXlCSCfIztBy
Move,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",4M8ThNHbNjda2cPwL8XZHS,07/06/2024,1BJJbSX6muJVF2AK7uH1x4,4M8ThNHbNjda2cPwL8XZHS,Today's Top Hits,pop,mainstream,37i9dQZF1DXcBWIGoYBM5M,86,0.782,119.992,0.727,-8.529,0.225,0.655,0.042,0.336,0,8,177599,0.0563,4,https://api.spotify.com/v1/tracks/1BJJbSX6muJVF2AK7uH1x4,spotify:track:1BJJbSX6muJVF2AK7uH1x4,https://api.spotify.com/v1/audio-analysis/1BJJbSX6muJVF2AK7uH1x4,1BJJbSX6muJVF2AK7uH1x4
"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne",0U28P0QVB1QRxpqp5IHOlH,28/10/2024,3tFed7YsjGnIfxeLEQwx3R,0U28P0QVB1QRxpqp5IHOlH,Today's Top Hits,pop,mainstream,37i9dQZF1DXcBWIGoYBM5M,88,0.812,80.09,0.505,-3.986,0.444,0.664,0.461,0,1,1,255916,0.285,4,https://api.spotify.com/v1/tracks/3tFed7YsjGnIfxeLEQwx3R,spotify:track:3tFed7YsjGnIfxeLEQwx3R,https://api.spotify.com/v1/audio-analysis/3tFed7YsjGnIfxeLEQwx3R,3tFed7YsjGnIfxeLEQwx3R
